stazPart,stazArr
VERCELLI,PAVIA
CIVITAVECCHIA,ROMA
RAVENNA,CASTELBOLOGNESE
FIUMEFREDDO,SIRACUSA
PIACENZA,MILANO
CREMONA,PAVIA
BUONCONVENTO,FIRENZE
SIENA,CHIUSI
SIENA,BUONCONVENTO
ASTI,TORINO
ASTI,ACQUI
MANTOVA,VERONA
BORGO,FIRENZE
FIRENZE,AREZZO
AREZZO,PRATO
FOGGIA,BARI
FAENZA,RAVENNA
PISTOIA,FIRENZE
CAGLIARI,SAN
CAGLIARI,IGLESIAS
BOZZOLO,MILANO
CREMONA,BRESCIA
CREMONA,FIDENZA
TRENTO,BOLZANO
TRENTO,VERONA
TRENTO,BOLZANO
TRENTO,ALA
SACILE,MANIAGO
BOLZANO,BRENNERO
BOLZANO,ALA
BOLZANO,MERANO
PALERMO,PUNTA
PUNTA,PALERMO
PORTOGRUARO,TREVISO
PORTOGRUARO,VENEZIA
PORTOGRUARO,TRIESTE
PORTOGRUARO,TREVISO
PESCARA,TERMOLI
CARNIA,TRIESTE
UDINE,TRIESTE
RIMINI,ANCONA
RIMINI,BOLOGNA
ROVIGO,BOLOGNA
FERRARA,RAVENNA
CASERTA,SALERNO
CASERTA,NAPOLI
CHIVASSO,PINEROLO
MONTEROTONDO,FIUMICINO
ROMA,LA SPEZIA
FARA,FIUMICINO
PARMA,BOLOGNA
REGGIO,GUASTALLA
REGGIO,SASSUOLO
REGGIO,CIANO
TORINO,ASTI
TORINO,FOSSANO
EMPOLI,SIENA
PALERMO,TERMINI
LUINO,MILANO
GALLARATE,LUINO
GALLARATE,VARESE
VICENZA,VENEZIA
VICENZA,TREVISO
ANCONA,FABRIANO
CHIASSO,MILANO
COMO,LECCO
BERGAMO,MILANO
BERGAMO,BRESCIA
BERGAMO,TREVIGLIO
BERGAMO,MILANO
LA SPEZIA,PONTREMOLI
BARI,BARLETTA
BARI,FASANO
BARI,FASANO
MODENA,SASSUOLO
MODENA,MANTOVA
ALESSANDRIA,PAVIA
ROMA,CESANO
NOVARA,TREVIGLIO
NOVARA,ALESSANDRIA
TREVISO,PADOVA
TREVISO,PORTOGRUARO
MILANO,BRESCIA
MILANO,BERGAMO
MILANO,TREVIGLIO
VOGHERA,MILANO
PAVIA,ALESSANDRIA
PAVIA,MILANO
VERONA,BOLOGNA
POZZUOLI,NAPOLI
NAPOLI,VILLA
GENOVA,ARQUATA
GENOVA,ACQUI
GENOVA,BUSALLA
VAL,LUNGHEZZA
ORTE,FIUMICINO
ROMA,POGGIO
LIVORNO,FIRENZE
PISA,LA SPEZIA
NAPOLI,SALERNO
NAPOLI,CASERTA
GENOVA,SAVONA
PADOVA,MONTEBELLUNA
PADOVA,BASSANO
MILANO,LODI
MILANO,PAVIA
MILANO,LECCO
MILANO,PONTE
MILANO,COMO
MILANO,LECCO
MILANO,ALBAIRATE
MILANO,NOVARA
MILANO,ALBAIRATE
MILANO,BERGAMO
M,CAMNAGO
COMO,M
SARONNO,M
BOLOGNA,PORRETTA
BOLOGNA,RIMINI
BOLOGNA,VIGNOLA
BOLOGNA,PRATO
BOLOGNA,FERRARA
VENEZIA,BASSANO
VENEZIA,PORTOGRUARO
VENEZIA,PORTOGRUARO
ROMA,LATINA
ROMA,PADIGLIONE
ROMA,FIUMICINO
ROMA,LADISPOLI-CERVETERI
ROMA,COLLEFERRO-SEGNI-PALIANO
OLBIA,GOLFO
SASSARI,PORTO
ROCCAPALUMBA-ALIA,CALTANISSETTA
SIBARI,COSENZA
PISOGNE,BRESCIA
ISEO,BRESCIA
SIRACUSA,AUGUSTA
LIMONE,CUNEO
COLICO,SONDRIO
