citta_uniche,LAT,LON
MEDA,45.6615589,9.1552722
CITTADUCALE,42.3866215,12.948148
CANDIOLO,44.9602633,7.6012111
RHO,45.528912,9.040217
ROSARNO,38.4875208,15.9828233
COGOLETO,44.3894582,8.6463299
PORDENONE,45.9544487,12.66003
LETOJANNI,37.8802094,15.3062471
FOLLONICA,42.9225695,10.7598806
CAVALLERMAGGIORE,44.7078515,7.687748
OSTUNI,40.7321399,17.5778218
AVIGLIANA,45.0793571,7.3963234
CECINA,43.3121576,10.5193646
ORVIETO,42.7181431,12.1083084
VENAFRO,41.48614,14.0451054
CREVALCORE,44.7226389,11.1470344
COLORNO,44.9287926,10.3756497
MANDATORICCIO,39.4701518,16.8366865
STRONGOLI,39.2674219,17.052721
SARNO,40.8152734,14.6188943
BARONISSI,40.7463693,14.7702092
NOALE,45.5505611,12.0704105
SECUGNAGO,45.2303463,9.5914169
NOGARA,45.1778411,11.0609056
COCCAGLIO,45.5623913,9.9769612
DUEVILLE,45.6356977,11.5487654
ALTOPASCIO,43.8150175,10.6747442
CAMMARATA,37.6326245,13.6379709
BUSSETO,44.981327,10.0413231
BORDIGHERA,43.7797422,7.6718889
POMPEI,40.7483563,14.5000092
OLMENETA,45.2344691,10.0247433
