stazPart,stazArr
AREZZO,PISTOIA
FIRENZE,BORGO
BORGO,FIRENZE
AREZZO,PRATO
FIRENZE,AREZZO
SAN,BARI
FOGGIA,BARI
VIAREGGIO,FIRENZE
PISTOIA,FIRENZE
CAGLIARI,SAN
CAGLIARI,ORISTANO
CREMONA,TREVIGLIO
CREMONA,BRESCIA
ALA,BOLZANO
TRENTO,BOLZANO
SACILE,MANIAGO
SACILE,VENEZIA
LUCCA,PIAZZA
LUCCA,PONTEDERA
LUCCA,FIRENZE
LUCCA,PISA
MERANO,BRENNERO
BOLZANO,ROVERETO
PUNTA,PALERMO
PALERMO,PUNTA
PALERMO,PUNTA
PUNTA,PALERMO
PORTOGRUARO,VENEZIA
PORTOGRUARO,TREVISO
PORTOGRUARO,TRIESTE
PORTOGRUARO,VENEZIA
PORTOGRUARO,TREVISO
PORTOGRUARO,CASARSA
BARLETTA,BARI
PESCARA,SULMONA
TARVISIO,TRIESTE
UDINE,TRIESTE
UDINE,TRIESTE
TRIESTE,PORTOGRUARO
TRIESTE,UDINE
RIMINI,ANCONA
RIMINI,ANCONA
FERRARA,RAVENNA
CASERTA,SALERNO
CHIVASSO,PINEROLO
MONTEROTONDO,CESANO
ORTE,FIUMICINO
FIUMICINO,FARA
MONTEROTONDO,CESANO
FARA,FIUMICINO
FIUMICINO,POGGIO
CESANO,FARA
SAVONA,GENOVA
SAVONA,RECCO
REGGIO,GUASTALLA
REGGIO,CIANO
CHIERI,RIVAROLO
RIVAROLO,CHIERI
PINEROLO,CHIVASSO
FIRENZE,LIVORNO
FIRENZE,LIVORNO
PISA,FIRENZE
EMPOLI,FIRENZE
EMPOLI,SIENA
FIRENZE,PONTASSIEVE
PALERMO,CEFALU`
GALLARATE,LUINO
VERONA,VENEZIA
VICENZA,VENEZIA
VICENZA,SCHIO
VICENZA,TREVISO
ANCONA,FABRIANO
ANCONA,PESARO
ANCONA,JESI
BERGAMO,CREMONA
BERGAMO,BRESCIA
BERGAMO,TREVIGLIO
BERGAMO,BRESCIA
LA SPEZIA,PISA
LA SPEZIA,PONTREMOLI
LA SPEZIA,PISA
FASANO,BARLETTA
BARI,LECCE
BARI,BARLETTA
BARI,TARANTO
BARI,BITRITTO
MODENA,MANTOVA
ALESSANDRIA,PAVIA
ALESSANDRIA,GENOVA
ALESSANDRIA,MI.P.GENOVA
ALESSANDRIA,MI.P.GENOVA
NOVARA,TREVIGLIO
NOVARA,ALESSANDRIA
TREVISO,VICENZA
TREVISO,PORTOGRUARO
TREVISO,PADOVA
TREVIGLIO,VARESE
PIOLTELLO,NOVARA
PAVIA,ALESSANDRIA
GENOVA,RECCO
GENOVA,ARQUATA
ACQUI,GENOVA
GENOVA,BUSALLA
ORTE,FIUMICINO
PISA,FIRENZE
PISA,LA SPEZIA
PISA,CAMPIGLIA
SALERNO,CASERTA
GENOVA,GENOVA
VENEZIA,VERONA
PADOVA,TREVISO
PADOVA,MONTEBELLUNA
PADOVA,BASSANO
SARONNO,ALBAIRATE
MONZA,LECCO
M,LAVENO
M,ERBA
M,NOVARA
M,MALPENSA
M,VARESE
M,ERBA
M,COMO
CAMNAGO,M
M,CAMNAGO
NOVARA,M
COMO,M
SARONNO,LODI
SARONNO,M
FIRENZE,BORGO
FIRENZE,EMPOLI
VENEZIA,BASSANO
VENEZIA,TRIESTE
VENEZIA,ROVIGO
VENEZIA,BASSANO
VENEZIA,PORTOGRUARO
VENEZIA,VERONA
VENEZIA,VENEZIA
VENEZIA,PORTOGRUARO
GOLFO,OLBIA
OZIERI,PORTO
LOCRI,ROCCELLA
VITERBO,ORTE
COSENZA,SIBARI
CAPISTRELLO,AVEZZANO
VOGHERA,PIACENZA
CATANZARO,LAMEZIA
CATANZARO,CROTONE
ARONA,NOVARA
SULMONA,L`AQUILA
SAPRI,COSENZA
VILLAMASSARGIA,CARBONIA
FELTRE,BELLUNO
BELLUNO,FELTRE
LAMEZIA,CATANZARO
ASCOLI,S.BENEDETTO
S.BENEDETTO,ASCOLI
LECCE,BARI
CHIAVENNA,COLICO
COLICO,CHIAVENNA
LEGNAGO,PADOVA
SAN,FOSSANO
CEVA,FOSSANO
CASTELBOLOGNESE,RAVENNA
CALTAGIRONE,CATANIA
CODOGNO,CREMONA
ACQUI,ASTI
MANTOVA,MODENA
AREZZO,FIRENZE
FIRENZE,MONTEVARCHI
BIELLA,SANTHIA`
SANTHIA`,BIELLA
STABIO,BUSTO
BUSTO,STABIO
TERMOLI,FOGGIA
SAN,CAGLIARI
DECIMOMANNU,CAGLIARI
CAGLIARI,CARBONIA
CAGLIARI,DECIMOMANNU
GIAMPILIERI,MESSINA
MESSINA,GIAMPILIERI
BRESCIA,CREMONA
MANIAGO,SACILE
PIAZZA,PISA
VIAREGGIO,LUCCA
LUCCA,VIAREGGIO
AGRIGENTO,PUNTA
PUNTA,PALERMO
GIACHERY,PALERMO
PALERMO,PUNTA
PUNTA,PALERMO
